param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_svm__C,mean_train_macro_f1,std_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,train_cv_gap,mean_fit_time,std_fit_time,rank_test_macro_f1
"(1, 1)",5,0.95,2.0,0.9994467351490869,0.00012837191611990504,0.9001665848352761,0.004903982724830002,0.9001023818181627,0.900833295179658,0.9009830248542652,0.8993800420939728,0.09928015031381077,5.584984493255615,0.526865982607522,44
"(1, 1)",2,0.9,1.0,0.9980753186868991,0.0004169493628480579,0.899855260249379,0.005020845850567701,0.8999574544338034,0.9004569583540503,0.9007927023794947,0.8991364324100527,0.09822005843752013,5.387106418609619,0.34327348435229416,45
"(1, 1)",2,1.0,2.0,0.9995841719786942,8.408184272223554e-05,0.8996566307433065,0.004887646386514965,0.8996678092491546,0.9001679019149588,0.900549991828869,0.8988987528990571,0.09992754123538772,5.776912117004395,0.6411084629576049,46
"(1, 1)",3,0.95,2.0,0.9995156037575652,0.00012851712070688508,0.899566943544061,0.004517868793352719,0.8995234058249701,0.9002430852117784,0.9003336537100554,0.8988209891789358,0.09994866021350424,4.99980936050415,0.10711502526107855,47
"(1, 1)",3,0.9,1.0,0.9979640724401527,0.0005466344751415066,0.8995579038675547,0.00494691080853879,0.8996677044571196,0.9001541020724237,0.9005326403810887,0.8987996351273665,0.09840616857259799,5.4333083152771,0.38603675756174766,48
"(1, 1)",3,1.0,2.0,0.9995156037575652,0.00012851712070688508,0.8995216956646395,0.00484494860314712,0.8995233010329351,0.9001784061495431,0.9003452262958852,0.8987732700900212,0.09999390809292574,6.485697078704834,0.8583253406396946,49
"(1, 1)",2,0.95,2.0,0.9995841719786942,8.408184272223554e-05,0.8995194531252444,0.004506182456630282,0.8995229866568302,0.9000597197931647,0.900391261670139,0.8987686243130331,0.10006471885344981,6.271712970733643,0.4270019355676894,50
"(1, 1)",5,0.9,1.0,0.9976412434418217,0.0005255829138539474,0.898923818149447,0.005269935483594995,0.8989440106636375,0.8995653664492442,0.8998228632350319,0.898154027121285,0.0987174252923747,6.187054443359375,0.819336305879447,51
"(1, 1)",5,0.9,2.0,0.9994467351490869,0.00012837191611990504,0.8988408121853203,0.004394535043764438,0.8987987689031731,0.8995848859210371,0.8996401766718677,0.8980717869948546,0.10060592296376658,7.118109512329101,0.21190698572368097,52
"(1, 1)",2,0.9,2.0,0.9995505302828176,0.00017603868623289627,0.8986873995745703,0.003688027615891483,0.8986540511028839,0.8992849148885641,0.8995498989644382,0.8979028543254618,0.10086313070824726,5.884483098983765,0.5551253165374062,53
"(1, 1)",3,0.9,2.0,0.9994467351490869,0.00012837191611990504,0.8986229713350374,0.005002276979212784,0.8986546798550936,0.8992953318620994,0.8994890838252786,0.8978727973422818,0.10082376381404945,5.947872352600098,0.5898015013025967,54
